address,x,y
250 JURONG EAST ST 24,17612.0915859202,36089.492341632
231 JURONG EAST ST 21,17403.3277329132,35920.7869543545
330 JURONG EAST AVE 1,16505.0354807265,36963.2651055679
264 JURONG EAST ST 24,17798.7472496005,36219.4573127963
411 PANDAN GDNS,18359.2925710063,33476.4796753582
253 JURONG EAST ST 24,17256.9429254048,36148.6726363432
207 JURONG EAST ST 21,17884.8498867173,35562.824218858
115 JURONG EAST ST 13,17114.1450858433,35773.0692961831
101 JURONG EAST ST 13,17479.6687334049,35465.6032130141
211 JURONG EAST ST 21,17647.1902490351,35648.9415964819
339 JURONG EAST AVE 1,16672.3056207513,36850.2021699939
62 TEBAN GDNS RD,17501.290485966,33750.365519084
311 JURONG EAST ST 32,16788.7608406004,36643.8707429618
112 JURONG EAST ST 13,17149.9396099038,35708.7493162286
283 TOH GUAN RD,18400.1211753143,35694.9085845109
310 JURONG EAST ST 32,16924.6099986043,36703.7733225692
329 JURONG EAST AVE 1,16494.7367387312,36917.3695499823
312 JURONG EAST ST 32,16743.7517434536,36560.7278606333
22 TEBAN GDNS RD,17582.7727759043,33891.1638253741
265 TOH GUAN RD,18137.9627829511,35874.3866196033
272 TOH GUAN RD,18216.579754211,36028.7480396647
268 TOH GUAN RD,18175.0152444141,36002.4766405169
288E JURONG EAST ST 21,18027.624995023,35834.2942234632
307 JURONG EAST ST 32,17040.765595682,36517.2456016559
405 PANDAN GDNS,18688.9866744503,33499.8897209316
111 JURONG EAST ST 13,17125.4352556458,35660.753465252
314 JURONG EAST ST 32,16866.2668860536,36531.8478153087
227 JURONG EAST ST 21,17179.2614467181,35997.4434985779
45 TEBAN GDNS RD,17740.3081270056,33590.2918040641
990A JURONG WEST ST 93,12615.8699266864,35271.682506809
990B JURONG WEST ST 93,12581.6821180051,35274.1537060719
185 BOON LAY AVE,14362.4769957243,36504.5252393559
119 HO CHING RD,15913.3332957262,35276.3691711407
174 BOON LAY DR,14207.7730026236,36487.3164377492
